Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Australian Open R16,W vs De Minaur,29.4%,39.7%,64.4%,36.6%,40.9%,52.3%,57.7%,52.0%,68.8%,50.0%,-,9.5%,19.0%,73.7%,-26
2023 Australian Open R32,W vs Dimitrov,27.7%,39.3%,53.2%,34.6%,32.1%,48.1%,61.8%,41.6%,48.4%,36.0%,0.0%,17.2%,17.2%,33.3%,19
2023 Australian Open R64,W vs Couacaud,31.1%,41.5%,67.2%,39.8%,40.6%,56.3%,73.7%,55.0%,51.9%,51.4%,100.0%,19.4%,22.2%,58.6%,65
2023 Australian Open R128,W vs Carballes Baena,37.1%,52.9%,67.4%,44.4%,46.7%,66.7%,75.0%,58.0%,69.6%,68.2%,0.0%,20.8%,29.2%,57.9%,-19
2023 Adelaide 1 F,W vs Korda,33.3%,46.5%,72.6%,41.7%,37.1%,58.1%,76.9%,50.5%,54.5%,50.0%,-,30.3%,30.3%,65.2%,85
2023 Adelaide 1 SF,W vs Medvedev,39.3%,49.2%,61.8%,43.4%,62.9%,77.1%,69.2%,70.0%,53.3%,40.0%,0.0%,8.7%,13.0%,57.1%,-33
2023 Adelaide 1 R16,W vs Halys,27.6%,48.7%,72.5%,39.9%,36.0%,66.0%,81.3%,54.6%,36.8%,48.4%,-,13.6%,18.2%,57.9%,9
2022 Tour Finals F,W vs Ruud,36.4%,47.3%,68.6%,42.9%,43.6%,59.0%,72.7%,52.8%,64.3%,56.0%,-,18.8%,18.8%,61.5%,-79
2022 Tour Finals SF,W vs Fritz,40.8%,47.4%,52.3%,45.9%,49.1%,54.7%,51.9%,56.4%,65.2%,50.0%,-,22.7%,31.8%,52.9%,-13
2022 Tour Finals RR,W vs Rublev,55.8%,69.8%,63.2%,65.6%,62.9%,80.0%,84.6%,74.9%,57.1%,47.6%,-,25.0%,25.0%,16.7%,-79
2022 Tour Finals RR,W vs Medvedev,28.2%,45.0%,57.1%,38.7%,37.6%,60.0%,66.0%,53.8%,69.2%,50.0%,20.0%,11.6%,18.6%,44.7%,2
2022 Tour Finals RR,W vs Tsitsipas,30.2%,44.4%,73.8%,40.3%,34.1%,52.3%,72.4%,48.6%,40.0%,62.5%,-,23.5%,29.4%,76.9%,80
2022 Paris F,L vs Rune,32.5%,50.0%,57.7%,43.6%,39.2%,64.7%,71.0%,56.7%,54.2%,51.9%,100.0%,22.2%,25.9%,38.1%,25
2022 Paris SF,W vs Tsitsipas,35.9%,52.6%,66.7%,45.3%,42.0%,64.0%,69.0%,56.6%,42.9%,44.8%,50.0%,26.9%,34.6%,63.2%,-79
2022 Paris R32,W vs Cressy,40.7%,55.6%,86.7%,51.7%,42.1%,60.5%,86.4%,57.6%,55.6%,70.0%,-,42.9%,50.0%,87.5%,110
2022 Astana F,W vs Tsitsipas,27.1%,43.8%,79.4%,40.6%,29.7%,48.6%,80.8%,47.3%,56.3%,52.4%,-,20.0%,30.0%,75.0%,-79
2022 Astana SF,W vs Medvedev,14.9%,32.8%,57.9%,26.6%,23.8%,52.4%,68.8%,42.4%,69.2%,48.3%,0.0%,0.0%,0.0%,44.0%,-118
2022 Astana R16,W vs Van De Zandschulp,19.6%,35.3%,65.9%,31.0%,20.0%,40.0%,75.0%,34.5%,60.0%,30.0%,50.0%,18.2%,18.2%,33.3%,-79
2022 Tel Aviv F,W vs Cilic,40.4%,50.9%,63.3%,43.0%,63.9%,72.2%,69.2%,68.1%,38.9%,44.4%,0.0%,0.0%,17.6%,58.8%,-118
2022 Tel Aviv SF,W vs Safiullin,40.6%,46.9%,52.8%,44.7%,55.8%,65.1%,63.2%,61.9%,57.1%,63.6%,50.0%,10.5%,10.5%,41.2%,-13
2022 Laver Cup RR,L vs Auger Aliassime,21.2%,28.8%,47.9%,27.0%,25.5%,34.0%,54.3%,33.6%,37.5%,43.5%,50.0%,13.3%,20.0%,30.8%,-2
2022 Wimbledon F,W vs Kyrgios,35.3%,45.4%,67.1%,38.7%,45.3%,54.7%,68.3%,50.8%,45.5%,45.2%,0.0%,21.6%,35.1%,65.5%,82
2022 Wimbledon SF,W vs Norrie,37.5%,45.5%,59.3%,42.5%,50.9%,57.9%,64.3%,58.6%,50.0%,41.4%,100.0%,13.3%,23.3%,53.8%,-30
2022 Wimbledon QF,W vs Sinner,34.4%,47.7%,55.7%,41.0%,47.1%,60.0%,66.7%,57.1%,45.2%,48.8%,50.0%,10.5%,26.3%,41.2%,-16
2022 Wimbledon R16,W vs Van Rijthoven,33.0%,43.3%,61.9%,39.2%,41.0%,50.8%,58.3%,50.8%,42.3%,48.6%,25.0%,20.6%,32.4%,66.7%,5
2022 Roland Garros QF,L vs Nadal,10.7%,25.7%,53.7%,19.3%,14.1%,32.3%,56.5%,26.3%,54.5%,43.6%,33.3%,2.7%,10.8%,47.2%,-91
2022 Rome F,W vs Tsitsipas,30.2%,41.5%,63.9%,38.3%,40.5%,54.1%,68.2%,52.2%,64.3%,30.4%,100.0%,6.7%,13.3%,57.1%,-49
2022 Rome SF,W vs Ruud,7.8%,15.7%,67.4%,15.3%,9.1%,21.2%,66.7%,20.6%,50.0%,19.0%,0.0%,5.9%,5.9%,68.8%,-57
2022 Rome QF,W vs Auger Aliassime,26.7%,40.0%,60.0%,35.9%,29.8%,45.6%,62.5%,41.9%,50.0%,35.5%,33.3%,16.7%,22.2%,53.3%,-79
2022 Rome R16,W vs Wawrinka,31.3%,37.5%,54.5%,36.9%,33.3%,41.7%,62.5%,40.8%,40.0%,57.1%,0.0%,25.0%,25.0%,33.3%,-79
2022 Rome R32,W vs Karatsev,23.5%,31.4%,64.9%,27.8%,28.0%,36.0%,66.7%,36.8%,60.0%,66.7%,-,20.8%,29.2%,63.2%,37
2022 Madrid SF,L vs Alcaraz,31.8%,38.8%,51.2%,36.7%,34.1%,37.6%,48.2%,41.5%,43.2%,45.8%,57.1%,28.6%,42.9%,56.7%,-10
2022 Madrid QF,W vs Hurkacz,29.1%,43.6%,68.4%,38.7%,38.9%,58.3%,68.2%,53.6%,33.3%,57.1%,-,11.1%,16.7%,68.8%,-2
2022 Madrid R32,W vs Monfils,17.6%,23.5%,60.4%,23.2%,23.3%,32.6%,60.6%,32.1%,57.1%,31.8%,25.0%,9.1%,9.1%,60.0%,-30
2022 Belgrade  F,L vs Rublev,25.3%,33.0%,38.1%,30.5%,33.3%,43.9%,36.8%,41.8%,57.7%,45.2%,50.0%,13.8%,17.2%,40.0%,11
2022 Monte Carlo R32,L vs Davidovich Fokina,12.8%,20.8%,44.2%,19.3%,14.5%,26.3%,47.7%,25.1%,26.5%,52.4%,41.7%,11.4%,13.6%,38.5%,-6
2021 Tour Finals SF,L vs Zverev,43.5%,54.3%,49.0%,49.8%,60.7%,73.8%,62.5%,70.2%,48.3%,46.9%,50.0%,10.0%,16.7%,37.0%,-30
2021 Tour Finals RR,W vs Ruud,52.8%,60.4%,52.0%,57.7%,61.5%,71.8%,73.3%,68.2%,55.0%,52.6%,-,28.6%,28.6%,20.0%,-79
2021 Tour Finals RR,W vs Rublev,54.2%,54.2%,36.4%,54.2%,77.4%,77.4%,42.9%,77.4%,61.5%,66.7%,-,11.8%,11.8%,33.3%,-79
2021 Paris F,W vs Medvedev,20.9%,41.9%,54.5%,33.0%,29.8%,57.9%,70.0%,48.1%,48.0%,43.8%,50.0%,3.7%,11.1%,30.8%,-80
2021 Paris SF,W vs Hurkacz,32.5%,42.9%,59.2%,37.3%,46.5%,58.1%,56.5%,55.1%,66.7%,59.1%,50.0%,16.1%,25.8%,61.5%,44
2021 Paris QF,W vs Fritz,31.9%,46.8%,55.2%,39.6%,41.2%,58.8%,55.0%,51.8%,43.8%,38.9%,33.3%,10.0%,20.0%,55.6%,-33
2021 US Open F,L vs Medvedev,23.9%,33.7%,52.2%,31.0%,38.0%,52.0%,67.7%,51.0%,55.6%,47.8%,50.0%,7.7%,12.8%,38.9%,-39
2021 US Open SF,W vs Zverev,26.0%,36.7%,54.1%,33.1%,37.4%,51.5%,62.9%,48.1%,55.3%,42.3%,50.0%,4.1%,8.2%,42.6%,-75
2021 US Open QF,W vs Berrettini,34.2%,47.9%,58.9%,40.5%,44.4%,58.3%,52.5%,54.7%,40.6%,37.5%,0.0%,19.5%,34.1%,66.7%,56
2021 US Open R16,W vs Brooksby,29.5%,42.9%,52.1%,36.1%,40.9%,54.5%,53.8%,51.4%,46.9%,44.1%,20.0%,10.5%,23.7%,50.0%,-40
2021 US Open R32,W vs Nishikori,34.4%,45.8%,54.4%,40.5%,46.3%,58.5%,56.8%,56.1%,47.4%,54.5%,50.0%,16.7%,28.6%,51.4%,39
2021 US Open R64,W vs Griekspoor,50.0%,56.9%,48.4%,56.0%,57.4%,68.1%,55.0%,66.6%,40.9%,44.0%,0.0%,45.0%,45.0%,36.4%,224
2021 Tokyo Olympics BR,L vs Carreno Busta,28.7%,42.5%,59.3%,37.9%,40.8%,61.2%,62.1%,57.1%,62.5%,51.5%,0.0%,14.3%,20.0%,56.7%,27
2021 Tokyo Olympics SF,L vs Zverev,20.3%,27.8%,37.1%,24.9%,28.8%,38.5%,37.8%,36.0%,48.1%,44.0%,25.0%,3.8%,7.7%,36.0%,-77
