Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2011 Cincinnati Masters F,L vs Murray,7,30,0.2,8.3%,35.7%,7,29,0.2,8.5%,35.4%,7.3%,1.2%,0.8,8.3%,10.7%
2011 Cincinnati Masters SF,W vs Berdych,8,8,1.0,11.1%,11.1%,4,5,0.8,6.8%,8.5%,5.1%,1.7%,0.5,18.1%,33.3%
2011 Canada Masters F,W vs Fish,19,29,0.7,10.6%,16.2%,15,27,0.6,9.2%,16.6%,3.1%,5.5%,0.7,16.2%,21.8%
2011 Canada Masters SF,W vs Tsonga,12,7,1.7,15.4%,9.0%,11,7,1.6,15.5%,9.9%,9.9%,5.6%,0.5,12.8%,28.2%
2011 Wimbledon F,W vs Nadal,27,12,2.3,15.3%,6.8%,20,11,1.8,12.3%,6.7%,9.8%,1.8%,1.4,11.9%,8.5%
2011 Wimbledon SF,W vs Tsonga,34,13,2.6,13.4%,5.1%,29,12,2.4,12.6%,5.2%,7.0%,5.2%,1.4,16.2%,11.5%
2011 Wimbledon QF,W vs Tomic,39,27,1.4,15.4%,10.7%,25,23,1.1,11.1%,10.2%,5.3%,4.9%,1.0,17.0%,16.2%
2011 Wimbledon R16,W vs Llodra,32,6,5.3,20.8%,3.9%,23,5,4.6,17.8%,3.9%,10.9%,7.0%,1.3,17.5%,13.6%
2011 Wimbledon R32,W vs Baghdatis,38,33,1.2,15.0%,13.0%,28,29,1.0,12.6%,13.1%,7.2%,4.5%,1.7,15.7%,9.1%
2011 Wimbledon R64,W vs Anderson,31,14,2.2,19.5%,8.8%,24,10,2.4,17.5%,7.3%,10.9%,5.8%,1.2,13.8%,11.3%
2011 Wimbledon R128,W vs Chardy,25,6,4.2,18.4%,4.4%,16,5,3.2,13.9%,4.3%,8.7%,4.3%,1.0,16.2%,15.4%
2011 Roland Garros SF,L vs Federer,40,41,1.0,12.9%,13.3%,33,39,0.8,11.8%,13.9%,7.9%,3.6%,1.0,15.5%,14.9%
2011 Roland Garros R16,W vs Gasquet,34,15,2.3,21.8%,9.6%,26,15,1.7,18.6%,10.7%,11.4%,7.1%,0.6,10.3%,16.7%
2011 Roland Garros R32,W vs del Potro,41,38,1.1,19.6%,18.2%,35,36,1.0,18.1%,18.7%,8.8%,8.8%,0.5,10.5%,22.0%
